"REF_DATE","GEO","DGUID","Land use","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996","Newfoundland and Labrador","2016A000210","Land in crops","Number of farms reporting","Number","223","units","0","v62725905","2.2.1","502","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Land in crops","Number of farms reporting","Number","223","units","0","v62725905","2.2.1","477","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Land in crops","Number of farms reporting","Number","223","units","0","v62725905","2.2.1","404","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Land in crops","Number of farms reporting","Number","223","units","0","v62725905","2.2.1","382","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Land in crops","Number of farms reporting","Number","223","units","0","v62725905","2.2.1","304","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Land in crops","Number of farms reporting","Number","223","units","0","v62725905","2.2.1","268","","","","0"
"1951","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","20271","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","15968","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","12919","","","","0"
"1966","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","12409","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","8736","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","10627","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","11722","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","12049","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","15503","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","17742","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","20843","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","22671","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","20618","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","19619","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Land in crops","Acres","Acres","28","units","0","v62725906","2.2.2","19298","","","","0"
"1951","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","8203","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","6462","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","5228","","","","0"
"1966","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","5022","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","3535","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","4301","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","4744","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","4876","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","6274","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","7180","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","8435","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","9175","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","8344","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","7940","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Land in crops","Hectares","Hectares","149","units","0","v62725907","2.2.3","7810","","","","0"
"1956","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","7","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","8","","","","0"
"1966","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","9","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","12","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","16","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","22","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","28","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","33","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","35","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","44","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","56","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","54","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","65","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Land in crops","Average area in acres","Acres","28","units","0","v62725908","2.2.4","72","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","36","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","67","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","85","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","27","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","29","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","28","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","18","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","17","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","15","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725909","2.3.1","10","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","432","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","884","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","951","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","359","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","236","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","281","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","167","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","98","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","82","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Summerfallow land","Acres","Acres","28","units","0","v62725910","2.3.2","45","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","175","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","358","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","385","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","145","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","96","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","114","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","68","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","40","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","33","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Summerfallow land","Hectares","Hectares","149","units","0","v62725911","2.3.3","18","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","12","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","13","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","11","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","13","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","8","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","10","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","9","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","6","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","5","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Summerfallow land","Average area in acres","Acres","28","units","0","v62725912","2.3.4","5","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","269","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","242","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","223","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","251","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","142","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","137","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","96","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","73","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","80","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725913","2.4.1","38","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","14385","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","10249","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","9444","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","11382","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","5834","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","6251","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","5801","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","3984","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","3995","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Acres","Acres","28","units","0","v62725914","2.4.2","1825","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","5821","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","4148","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","3822","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","4606","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","2361","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","2530","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","2348","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","1612","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","1617","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725915","2.4.3","739","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","53","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","42","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","42","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","45","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","41","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","46","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","60","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","55","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","50","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725916","2.4.4","48","","","","0"
"1976","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","629","","","","0"
"1981","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","513","","","","0"
"1986","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","547","","","","0"
"1991","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","663","","","","0"
"1996","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","652","","","","0"
"2001","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","559","","","","0"
"2006","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","496","","","","0"
"2011","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","466","","","","0"
"2016","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","370","","","","0"
"2021","Newfoundland and Labrador","2016A000210","All other land","Number of farms reporting","Number","223","units","0","v62725917","2.5.1","252","","","","0"
"1976","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","54614","","","","0"
"1981","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","59817","","","","0"
"1986","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","67901","","","","0"
"1991","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","89767","","","","0"
"1996","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","84508","","","","0"
"2001","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","72896","","","","0"
"2006","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","60802","","","","0"
"2011","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","52649","","","","0"
"2016","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","47051","","","","0"
"2021","Newfoundland and Labrador","2016A000210","All other land","Acres","Acres","28","units","0","v62725918","2.5.2","28952","","","","0"
"1976","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","22101","","","","0"
"1981","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","24207","","","","0"
"1986","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","27479","","","","0"
"1991","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","36327","","","","0"
"1996","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","34199","","","","0"
"2001","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","29500","","","","0"
"2006","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","24606","","","","0"
"2011","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","21306","","","","0"
"2016","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","19041","","","","0"
"2021","Newfoundland and Labrador","2016A000210","All other land","Hectares","Hectares","149","units","0","v62725919","2.5.3","11716","","","","0"
"1976","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","87","","","","0"
"1981","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","117","","","","0"
"1986","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","124","","","","0"
"1991","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","135","","","","0"
"1996","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","130","","","","0"
"2001","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","130","","","","0"
"2006","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","123","","","","0"
"2011","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","113","","","","0"
"2016","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","127","","","","0"
"2021","Newfoundland and Labrador","2016A000210","All other land","Average area in acres","Acres","28","units","0","v62725920","2.5.4","115","","","","0"
"1921","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","13701","","","","0"
"1926","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","","..","","","0"
"1931","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","12865","","","","0"
"1936","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","","..","","","0"
"1941","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","12230","","","","0"
"1946","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","","..","","","0"
"1951","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","10137","","","","0"
"1956","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","9432","","","","0"
"1961","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","7335","","","","0"
"1966","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","6357","","","","0"
"1971","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","4543","","","","0"
"1976","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","3677","","","","0"
"1981","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","3154","","","","0"
"1986","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","2833","","","","0"
"1991","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","2361","","","","0"
"1996","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","2217","","","","0"
"2001","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","1845","","","","0"
"2006","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","1700","","","","0"
"2011","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","1495","","","","0"
"2016","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","1353","","","","0"
"2021","Prince Edward Island","2016A000211","Total area of farms","Number of farms reporting","Number","223","units","0","v62725921","3.1.1","1195","","","","0"
"1921","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","1216483","","","","0"
"1926","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","","..","","","0"
"1931","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","1191202","","","","0"
"1936","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","","..","","","0"
"1941","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","1168868","","","","0"
"1946","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","","..","","","0"
"1951","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","1095304","","","","0"
"1956","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","1065463","","","","0"
"1961","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","960157","","","","0"
"1966","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","926978","","","","0"
"1971","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","774630","","","","0"
"1976","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","731035","","","","0"
"1981","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","699367","","","","0"
"1986","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","673196","","","","0"
"1991","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","639693","","","","0"
"1996","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","655365","","","","0"
"2001","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","646137","","","","0"
"2006","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","619885","","","","0"
"2011","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","594324","","","","0"
"2016","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","575490","","","","0"
"2021","Prince Edward Island","2016A000211","Total area of farms","Acres","Acres","28","units","0","v62725922","3.1.2","504674","","","","0"
"1921","Prince Edward Island","2016A000211","Total area of farms","Hectares","Hectares","149","units","0","v62725923","3.1.3","492293","","","","0"
"1926","Prince Edward Island","2016A000211","Total area of farms","Hectares","Hectares","149","units","0","v62725923","3.1.3","","..","","","0"
"1931","Prince Edward Island","2016A000211","Total area of farms","Hectares","Hectares","149","units","0","v62725923","3.1.3","482062","","","","0"
"1936","Prince Edward Island","2016A000211","Total area of farms","Hectares","Hectares","149","units","0","v62725923","3.1.3","","..","","","0"
